,Time,ax SRP [m/s^2],ay SRP [m/s^2],az SRP [m/s^2],rx Sun [m],ry Sun [m],rz Sun [m]
0,764294400.0,-5.947372255175459e-08,-9.866698668628682e-10,-4.194430551381949e-10,148995778772.5322,2471841998.400126,1050804321.1295806
1,764294410.0,-5.947373223033877e-08,-9.867800675063165e-10,-4.195023302961694e-10,148995758221.8573,2472117333.865894,1050952503.472267
2,764294420.0,-5.947374188115091e-08,-9.868902529170582e-10,-4.195616168474113e-10,148995737705.6058,2472392632.7300973,1051100715.0022463
3,764294430.0,-5.9473751504149646e-08,-9.870004230894662e-10,-4.1962091476782843e-10,148995717223.8305,2472667894.9818473,1051248955.6605511
4,764294440.0,-5.9473761099293854e-08,-9.871105780179328e-10,-4.1968022403330794e-10,148995696776.5841,2472943120.610289,1051397225.3881564
5,764294450.0,-5.947377066654225e-08,-9.872207176968596e-10,-4.1973954461971093e-10,148995676363.9193,2473218309.604603,1051545524.1259768
6,764294460.0,-5.9473780205853646e-08,-9.873308421206642e-10,-4.1979887650287586e-10,148995655985.88885,2473493461.954004,1051693851.814869
7,764294470.0,-5.9473789717186776e-08,-9.874409512837762e-10,-4.1985821965861653e-10,148995635642.5454,2473768577.6477404,1051842208.3956295
8,764294480.0,-5.9473799200500487e-08,-9.875510451806405e-10,-4.199175740627229e-10,148995615333.94165,2474043656.675098,1051990593.8089945
9,764294490.0,-5.94738086557536e-08,-9.876611238057148e-10,-4.199769396909614e-10,148995595060.13025,2474318699.0253944,1052139007.9956423
10,764294500.0,-5.9473818082904894e-08,-9.877711871534715e-10,-4.200363165190738e-10,148995574821.1639,2474593704.687986,1052287450.8961904
11,764294510.0,-5.947382748191328e-08,-9.87881235218397e-10,-4.200957045227784e-10,148995554617.09515,2474868673.6522603,1052435922.451196
12,764294520.0,-5.9473836852737537e-08,-9.879912679949894e-10,-4.2015510367776827e-10,148995534447.97668,2475143605.907642,1052584422.6011568
13,764294530.0,-5.947384619533661e-08,-9.881012854777638e-10,-4.2021451395971356e-10,148995514313.8611,2475418501.4435897,1052732951.2865101
14,764294540.0,-5.947385550966923e-08,-9.882112876612453e-10,-4.2027393534425824e-10,148995494214.80103,2475693360.2495985,1052881508.4476327
15,764294550.0,-5.947386479569443e-08,-9.883212745399775e-10,-4.2033336780702436e-10,148995474150.84897,2475968182.315197,1053030094.0248411
16,764294560.0,-5.947387405337101e-08,-9.88431246108514e-10,-4.2039281132360746e-10,148995454122.05756,2476242967.629949,1053178707.958391
17,764294570.0,-5.94738832826579e-08,-9.885412023614238e-10,-4.204522658695794e-10,148995434128.47934,2476517716.183455,1053327350.1884772
18,764294580.0,-5.9473892483513993e-08,-9.886511432932906e-10,-4.205117314204878e-10,148995414170.16687,2476792427.9653506,1053476020.655234
19,764294590.0,-5.94739016558982e-08,-9.887610688987102e-10,-4.2057120795185483e-10,148995394247.17267,2477067102.9653044,1053624719.2987338
20,764294600.0,-5.9473910799769506e-08,-9.88870979172294e-10,-4.20630695439179e-10,148995374359.5493,2477341741.1730223,1053773446.058989
21,764294610.0,-5.947391991508685e-08,-9.88980874108668e-10,-4.2069019385793397e-10,148995354507.34912,2477616342.578246,1053922200.8759495
22,764294620.0,-5.947392900180918e-08,-9.890907537024701e-10,-4.2074970318356814e-10,148995334690.62473,2477890907.170751,1054070983.6895043
23,764294630.0,-5.9473938059895414e-08,-9.892006179483523e-10,-4.2080922339150457e-10,148995314909.42865,2478165434.94035,1054219794.4394803
24,764294640.0,-5.9473947089304596e-08,-9.893104668409828e-10,-4.208687544571431e-10,148995295163.81326,2478439925.876889,1054368633.0656433
25,764294650.0,-5.947395608999561e-08,-9.894203003750404e-10,-4.209282963558566e-10,148995275453.83112,2478714379.9702525,1054517499.5076966
26,764294660.0,-5.9473965061927564e-08,-9.895301185452229e-10,-4.209878490629953e-10,148995255779.53455,2478988797.210357,1054666393.7052816
27,764294670.0,-5.947397400505941e-08,-9.896399213462383e-10,-4.2104741255388245e-10,148995236140.976,2479263177.587159,1054815315.5979778
28,764294680.0,-5.9473982919350286e-08,-9.89749708772812e-10,-4.211069868038178e-10,148995216538.2079,2479537521.090647,1054964265.1253012
29,764294690.0,-5.9473991804758996e-08,-9.898594808196765e-10,-4.2116657178807324e-10,148995196971.2827,2479811827.710847,1055113242.2267067
30,764294700.0,-5.947400066124476e-08,-9.899692374815878e-10,-4.212261674818989e-10,148995177440.25272,2480086097.4378204,1055262246.8415862
31,764294710.0,-5.947400948876655e-08,-9.9007897875331e-10,-4.2128577386051703e-10,148995157945.17038,2480360330.261665,1055411278.9092683
32,764294720.0,-5.9474018287283446e-08,-9.901887046296222e-10,-4.2134539089912556e-10,148995138486.08804,2480634526.1725125,1055560338.3690187
