Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764402398.9995749,4948.709055682167,117.7782697803482,6.1485373e-08
764402398.9996749,4948.213985429222,119.11962727379742,6.1547201e-08
764402398.9997749,4947.718915177386,117.87990584383112,6.1608122e-08
764402398.999875,4947.223844926663,117.98607386411841,6.1670989e-08
764402398.999975,4946.728774676597,118.99576332887959,6.1732678e-08
764402399.000075,4946.233704427643,118.48381238885321,6.1794857e-08
764402399.000175,4945.738634178916,119.12368735997077,6.1857214e-08
764402399.000275,4945.243563932186,119.65128979526963,6.1919834e-08
764402399.000375,4944.748493687637,119.50254647703656,6.1982067e-08
764402399.000475,4944.253423444202,118.6615675166159,6.2044362e-08
764402399.0005751,4943.758353202333,117.85341754412208,6.2106692e-08
764402399.0006751,4943.263282961576,115.36868009734921,6.2167347e-08
764402399.0007751,4942.768212721934,119.0205350192635,6.2231156e-08
764402399.0008751,4942.273142482521,115.98108755225104,6.2292828e-08
764402399.0009751,4941.778072245107,114.71365276759722,6.2355949e-08
764402399.0010751,4941.283002008809,119.58928032583269,6.2419444e-08
764402399.0011752,4940.787931773625,116.02115176846574,6.2481183e-08
764402399.0012752,4940.292861538487,119.81053229808505,6.2544778e-08
764402399.0013752,4939.797791304013,117.15058403785763,6.2606643e-08
764402399.0014752,4939.302721070655,115.8915135721775,6.2668364e-08
764402399.0015752,4938.807650837528,117.40360571054254,6.2731644e-08
764402399.0016752,4938.312580606404,114.66322791441083,6.2794968e-08
764402399.0017753,4937.817510376395,116.5008045890303,6.285845e-08
764402399.0018753,4937.322440147958,119.21333603441181,6.292176e-08
764402399.0019753,4936.827369920638,116.96201352935739,6.2983922e-08
764402399.0020753,4936.332299694437,117.27491685213843,6.3048044e-08
764402399.0021753,4935.8372294693545,112.28841482309117,6.3110061e-08
764402399.0022753,4935.342159245391,111.69064405712324,6.317159e-08
764402399.0023754,4934.847089022545,118.10701095776479,6.3237435e-08
764402399.0024754,4934.352018800821,117.31585717363177,6.3299854e-08
764402399.0025754,4933.856948580215,114.75877423510308,6.3362933e-08
764402399.0026754,4933.361878360277,113.18380427673735,6.3427532e-08
764402399.0027754,4932.866808141459,117.85269450024292,6.3491071e-08
764402399.0028754,4932.371737922878,118.1305133028104,6.3554608e-08
764402399.0029755,4931.876667706302,118.94370338269711,6.361831e-08
764402399.0030755,4931.381597490848,118.41141713121797,6.3683035e-08
764402399.0031755,4930.886527276517,115.33668869679708,6.3745586e-08
764402399.0032755,4930.39145706376,118.95558371074377,6.3810261e-08
764402399.0033755,4929.896386852125,115.53859402045737,6.3872632e-08
764402399.0034755,4929.401316641614,110.8616198729163,6.3935024e-08
764402399.0035756,4928.90624643134,118.70165173008137,6.4002016e-08
764402399.0036756,4928.411176223077,114.84918163708046,6.4064508e-08
764402399.0037756,4927.916106015936,117.49021319438634,6.4128762e-08
764402399.0038756,4927.421035809919,119.46363482588383,6.4194958e-08
764402399.0039756,4926.925965606097,119.5455387276865,6.4259154e-08
764402399.0040756,4926.430895402947,119.09786616655443,6.4322711e-08
764402399.0041757,4925.9358252009215,119.10549886257378,6.438818e-08
764402399.0042757,4925.4407549991365,116.24136876114477,6.4452436e-08
764402399.0043757,4924.945684799363,116.17027929593968,6.4515508e-08
764402399.0044757,4924.450614600716,116.40974932214995,6.4580907e-08
764402399.0045757,4923.955544403649,117.86493492586516,6.4645045e-08
764402399.0046757,4923.460474207708,114.30772048142337,6.4708815e-08
764402399.0047758,4922.965404011825,118.01244424115013,6.4775862e-08
764402399.0048758,4922.470333816185,112.27309702251755,6.4836716e-08
764402399.0049758,4921.975263622558,116.55923282310577,6.4903371e-08
764402399.0050758,4921.480193430059,111.41607276929687,6.4965815e-08
764402399.0051758,4920.985123238688,115.21714164026493,6.5031906e-08
764402399.0052758,4920.490053048447,119.53036810523567,6.509926e-08
764402399.0053759,4919.994982858883,117.7460762292162,6.516406e-08
764402399.0054759,4919.499912670449,116.76641496809268,6.5228421e-08
764402399.0055759,4919.004842482259,112.53237148885385,6.5292408e-08
764402399.0056759,4918.5097722960845,114.74926402846124,6.5360326e-08
764402399.0057759,4918.014702111041,115.72363045141304,6.5424257e-08
764402399.005876,4917.519631927581,116.30367084360053,6.5488754e-08
764402399.005976,4917.024561745252,116.5063465284715,6.5555594e-08
764402399.006076,4916.529491564055,116.24574353188756,6.5621383e-08
764402399.006176,4916.034421383991,116.16832646990305,6.5685636e-08
764402399.006276,4915.539351204174,117.68489214051641,6.5751939e-08
764402399.006376,4915.044281026374,119.34954332556502,6.5818363e-08
764402399.006476,4914.549210849708,113.76953019574798,6.5881431e-08
764402399.0065761,4914.054140674175,118.6649508965091,6.595e-08
764402399.0066761,4913.559070499323,118.58256650179626,6.6015218e-08
764402399.0067761,4913.064000325606,115.81726918268058,6.6079387e-08
764402399.0068761,4912.568930153023,117.01145106025693,6.6146409e-08
764402399.0069761,4912.073859980689,118.15486295021726,6.621273e-08
764402399.0070761,4911.578789810375,117.51983193828393,6.6278373e-08
764402399.0071762,4911.0837196411985,115.87143740134023,6.6344014e-08
764402399.0072762,4910.58864947361,115.2365991401388,6.6411074e-08
764402399.0073762,4910.093579307157,116.31482892784716,6.647769e-08
764402399.0074762,4909.598509142909,117.55178821401404,6.654337e-08
764402399.0075762,4909.103438978915,118.80089878211773,6.6610689e-08
764402399.0076762,4908.608368816942,117.40948104668168,6.6676418e-08
764402399.0077763,4908.113298656107,118.57212705577652,6.6743197e-08
764402399.0078763,4907.61822849641,116.442679475284,6.6809081e-08
764402399.0079763,4907.12315833785,118.1657016277211,6.6876958e-08
764402399.0080763,4906.628088179978,116.78468688821208,6.694345e-08
764402399.0081763,4906.1330180232435,119.09396162007148,6.7010049e-08
764402399.0082763,4905.637947866763,118.57249936459345,6.707661e-08
764402399.0083764,4905.142877711239,117.85335760965779,6.714285e-08
764402399.0084764,4904.647807556854,115.82234373900735,6.7209715e-08
764402399.0085764,4904.1527374040625,118.39723533451028,6.7277593e-08
764402399.0086764,4903.6576672524125,114.82954097900593,6.7344307e-08
764402399.0087764,4903.162597101902,115.01084606286408,6.7410492e-08
764402399.0088764,4902.667526952534,114.68644107533139,6.7477775e-08
764402399.0089765,4902.172456803422,113.88002214741795,6.7544023e-08
764402399.0090765,4901.677386656337,116.52712579601624,6.7612997e-08
764402399.0091765,4901.182316510395,118.18278774539537,6.7680262e-08
764402399.0092765,4900.6872463655955,118.35646257933462,6.7747436e-08
764402399.0093765,4900.192176221487,114.24195135877602,6.7813095e-08
764402399.0094765,4899.697106078521,115.65648196375643,6.7881472e-08
764402399.0095766,4899.202035936699,116.73110825073694,6.7950172e-08
764402399.0096766,4898.706965795136,116.9772495192249,6.8018011e-08
764402399.0097766,4898.211895655603,114.67561662353086,6.8085081e-08
764402399.0098766,4897.716825517215,113.56451759160706,6.8150732e-08
764402399.0099766,4897.221755380425,118.31923371257774,6.8221272e-08
764402399.0100766,4896.726685244779,118.49483584151592,6.828887e-08
764402399.0101767,4896.2316151102805,116.3344187439686,6.8356131e-08
764402399.0102767,4895.736544976043,113.71965459702322,6.8423047e-08
